input_file;input;input_unit;input_value;input_source
INPUT04.TXT;"Net energy content per kg dry matter of feed ration of code 1 for breeding bulls in the herd";"MJ NE/kg dry matter";5.5;
INPUT04.TXT;"Net energy content per kg dry matter of feed ration of code 2 for breeding bulls in the herd";"MJ NE/kg dry matter";6.1;
INPUT04.TXT;"Protein content per kg dry matter of feed ration of code 1 for breeding bulls in the herd";"g PDI/kg";78.3;
INPUT04.TXT;"Protein content per kg dry matter of feed ration of code 2 for breeding bulls in the herd";"g PDI/kg";98.2;
INPUT08.TXT;"Price per kg fresh matter of feed ration for fattened bulls";"MU/kg";0.18;
INPUT08.TXT;"Dry matter per kg feed ration for fattened bulls";"kg/kg";0.44;
INPUT08.TXT;"Net energy content per kg dry matter of feed ration for fattened bulls";"MJ NE/kg dry matter";6.76;
INPUT08.TXT;"Protein content per kg dry matter of feed ration for fattened bulls";"g PDI/kg";86;
INPUT10.TXT;"Price per kg fresh matter of feed ration for intensively fattened heifers";"MU/kg";0.18;
INPUT10.TXT;"Dry matter per kg feed ration for intensively fattened heifers";"kg/kg";0.44;
INPUT10.TXT;"Net energy content per kg dry matter of feed ration for intensively fattened heifers";"MJ NE/kg dry matter";6.76;
INPUT10.TXT;"Protein content per kg dry matter of feed ration for intensively fattened heifers";"g PDI/kg";86;
INPUT03.TXT;"Amount of dry matter produced per ha pasture";"kg/ha";7000;"Schweizer Bauernverband"
