input_file;input;input_unit;input_value
INPUT21.TXT;"Fixed cost per reared heifer from the end of rearing period of calves to calving and per day";"MU/day";3.82 3.82
INPUT21.TXT;"Fixed cost per bull and day in fattening";"MU/day";3.28
INPUT21.TXT;"Fixed cost per heifer and day in fattening";"MU/day";3.28
INPUT11.TXT;"Net energy per kg dry matter of feed ration for cows";"MJ NE/kg dry matter";6.1
INPUT11.TXT;"Dry matter per kg feed for cows (average feed ration through the whole calving interval)";"kg/kg";0.27
INPUT11.TXT;"Protein per kg dry matter of feed ration for cows";"g PDI/kg";105
INPUT11.TXT;"Price per kg fresh matter of feed ration for cows";"MU/kg";0.04
INPUT21.TXT;"Dry matter per kg feed ration for reared calves in the first feeding period";"kg/kg";0.13 0.13
INPUT21.TXT;"Net energy content per kg dry matter of feed ration for reared calves in the first feeding period";"MJ NE/kg dry matter";6.7 6.7
INPUT21.TXT;"Protein content per kg dry matter of feed ration for reared calves in the first feeding period";"g PDI/kg";110 110
INPUT21.TXT;"Price per kg fresh matter of feed ration for reared calves in the first feeding period";"MU/kg";0.04 0.04
INPUT21.TXT;"Dry matter per kg feed ration for reared calves in the second feeding period"; "kg/kg";0.3 0.3
INPUT21.TXT;"Net energy content per kg dry matter of feed ration for reared calves in the second feeding period";"MJ NE/kg dry matter";6.7 6.7
INPUT21.TXT;"Protein content per kg dry matter of feed ration for reared calves in the second feeding period";"g PDI/kg";110 110
INPUT21.TXT;"Price per kg fresh matter of feed ration for reared calves in the second feeding period";"MU/kg";0.21 0.21
INPUT21.TXT;"Dry matter per kg feed ration for reared heifers";"kg/kg";0.27 0.27
INPUT21.TXT;"Net energy content per kg dry matter of feed ration for reared heifers";"MJ NE/kg dry matter";6.1 6.1
INPUT21.TXT;"Protein content per kg dry matter of feed ration for reared heifers";"g PDI/kg";105 105
INPUT21.TXT;"Price per kg fresh matter of feed ration for reared heifers";"MU/kg";0.04 0.04
INPUT21.TXT;"Dry matter per kg feed ration for fattened bulls";"kg/kg";0.12 0.12
INPUT21.TXT;"Net energy content per kg dry matter of feed ration for fattened bulls";"MJ NE/kg dry matter";6.7 6.7
INPUT21.TXT;"Protein content per kg dry matter of feed ration for fattened bulls";"g PDI/kg";110 110
INPUT21.TXT;"Price per kg fresh matter of feed ration in fattening of bulls";"MU/kg";0.24 0.24
INPUT21.TXT;"Dry matter per kg feed ration for fattened heifers";"kg/kg";0.12 0.12
INPUT21.TXT;"Net energy content per kg dry matter of feed ration for fattened heifers";"MJ NE/kg dry matter";6.7 6.7
INPUT21.TXT;"Protein content per kg dry matter of feed ration for fattened heifers";"g PDI/kg";110 110
INPUT21.TXT;"Price per kg fresh matter of feed ration in fattening of heifers";"MU/kg";0.24 0.24
INPUT11.TXT;"Fat content in milk";"%";4.0
INPUT11.TXT;"Protein content in milk";"%";3.2
INPUT22.TXT;"Average milk yield per cow and year";"kg";8272
INPUT11.TXT;"Dressing proportion of cows";" ";0.56
INPUT15.TXT;"Dressing proportion of heifers";" ";0.60 0.60
INPUT15.TXT;"Dressing proportion of bulls";" ";0.60 0.60
INPUT11.TXT;"Governmental financial support per kg milk";"MU/kg";0.20
INPUT11.TXT;"Governmental financial support per cow and year (e.g. for culled cows)";"MU/cow and year";2025
INPUT11.TXT;"Governmental financial support per cow in performance test and year";"MU/cow and year";0
INPUT11.TXT;"Governmental financial support per exported male calf";"MU/animal";0
INPUT11.TXT;"Governmental financial support per fattened animal";"MU/animal";0
INPUT11.TXT;"Gestation length";"days";291
INPUT07.TXT;"Vector of conception rate after ith insemination for cows not having dystocia (i=1 to inmax where inmax is the maximal number of inseminations for cows - see INPUT11.TXT)";" ";0.46 0.48 0.52 0.35 0.19
INPUT07.TXT;"Vector of conception rate after ith insemination for heifers (i=1 to inmaxh where inmaxh is the maximal number of inseminations for heifers - see INPUT11.TXT)";" ";0.57 0.56 0.6 0.36 0.13
INPUT11.TXT;"Maximal number of inseminations per cow after calving";" ";5
INPUT11.TXT;"Maximal number of inseminations per heifer";" ";5
INPUT11.TXT;"Dairy heifers mated with beef bulls as proportion of all mated dairy heifers (this parameter is given ohnly if there is crossbreeding in the system)";" ";0
INPUT07.TXT;"Vector of females mated with beef bulls as proportion of females mated in reproductive cycles 1 to LL-1";" ";0.40 0.44 0.44 0.44 0.45 0.45 0.48 0.49 0.48 0.50
INPUT11.TXT;"Average interval between calving and first insemination";" ";63
INPUT11.TXT;"Mature weight of dairy cows (weight of cows after 3rd calving)";"kg";610
INPUT15.TXT;"Proportion of pure-bred male calves alive at 48 hours after birth that are sold as breeding males (e.g. to test stations or AI stations)";" ";0
INPUT11.TXT;"Average daily gain of cows in the 1st reproductive cycle";"kg/day";0.13
